source,id,kind,status,reliability,description,x_2876_ft,y_2876_ft,z_ft,distance_ft,source_url
county_control_bank,CO060010N0700W0_100340,Quarter,Active PLSS,A,Yes - Corner Card Point,3061021.4760999996,1256171.9023,0,712.186,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=01&p_index_letter=L&p_received_date=&p_operation=Search
county_control_bank,T1NR71WS24E,Cadastral,Submitted,A,Secondary Control Network,3061024.2231,1256169.5155,,715.371,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=01&p_index_letter=L&p_received_date=&p_operation=Search
county_control_bank,Q-8,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3060017.7251000004,1255660.762,5459.44,726.858, 
city_benchmark,Q-8,Bench Mark,FOUND,city_benchmark,HAWTHORN AND 9TH STS,3060017.7251196355,1255660.7619509697,5459.44,726.858,
county_control_bank,M-405-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061207.141,1256239.2769,5441.61,886.018, 
city_benchmark,M-405-1,Bench Mark,FOUND,city_benchmark,BROADWAY AND IRIS,3061207.141047895,1256239.276870057,5441.61,886.018,
county_control_bank,M-405,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3060961.1681000004,1255353.9319,5433.55,1156.497, 
city_benchmark,M-405,Bench Mark,FOUND,city_benchmark,INTER OF BROADWAY AND GRAPE,3060961.1681146324,1255353.9318559766,5433.55,1156.497,
city_benchmark,E-8,Bench Mark,NOT_FOUND,city_benchmark,INT. 14TH & IRIS,3061733.4431448877,1256137.0789117217,5422.59,1420.446,
county_control_bank,R-8,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059013.6431,1255653.1829,5490.38,1470.763, 
city_benchmark,R-8,Bench Mark,FOUND,city_benchmark,NW INT HAWTHORN AND 6TH STS,3059013.6431383044,1255653.1828978956,5490.38,1470.763,
county_control_bank,P-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061025.063,1254888.9971,5422.74,1592.793, 
city_benchmark,P-1,Bench Mark,FOUND,city_benchmark,BROADWAY AND FOREST,3061025.0629999638,1254888.9970903099,5422.74,1592.793,
county_control_bank,M-405-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059635.9680000003,1254871.753,5449.58,1603.329, 
city_benchmark,M-405-2,Bench Mark,FOUND,city_benchmark,INTER OF FOREST AND 8TH,3059635.968009144,1254871.753030315,5449.58,1603.329,
county_control_bank,L-405,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3060935.3739,1257849.879,5484.84,1647.616, 
city_benchmark,L-405,Bench Mark,FOUND,city_benchmark,INTER OF BROADWAY AND LINDEN,3060935.373874888,1257849.8789638132,5484.84,1647.616,
county_control_bank,M-15,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059480.5621999996,1257825.3009,5537.52,1726.23, 
city_benchmark,M-15,Bench Mark,FOUND,city_benchmark,INTER LINDEN & LINDEN PARK,3059480.5621519685,1257825.30092898,5537.52,1726.23,
county_control_bank,CO060010N0710W0_640340,Quarter,Active PLSS,D,Yes - Corner Card Point,3058368.1827999996,1256149.8742,0,1963.934,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=071.0W&p_index_number=23&p_index_letter=L&p_received_date=&p_operation=Search
county_control_bank,V-8-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058348.7691,1256485.2639,5543.99,1982.935, 
city_benchmark,V-8-1,Bench Mark,FOUND,city_benchmark,INTER 4TH & JUNIPER,3058348.7691399753,1256485.2639108896,5543.99,1982.935,
county_control_bank,L405-2-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062080.5609,1255256.5698,5407.87,2052.511, 
county_control_bank,P-9-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059341.1359,1254247.691,5442.06,2293.529, 
county_control_bank,L405-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062295.3488,1257497.4479,5422.69,2295.767, 
county_control_bank,L-15,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058563.874,1257830.2789,5581.87,2320.119, 
county_control_bank,L405-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062695.4872000003,1256217.0069,5404.09,2372.935, 
county_control_bank,V-8,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058382.9458999997,1254883.69,5516.94,2415.051, 
county_control_bank,R-5-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059430.5330999997,1258691.8041,5610.05,2535.17, 
county_control_bank,O-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061025.0609999998,1253878.861,5405.02,2539.2, 
county_control_bank,R-5,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061012.001,1258787.0949,5542.7,2561.425, 
county_control_bank,T1NR71WS24NE,Cadastral,Submitted,A,Secondary Control Network,3061016.6180999996,1258823.0007,,2597.258,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=01&p_index_letter=N&p_received_date=&p_operation=Search
county_control_bank,CO060010N0700W0_100400,Section,Active PLSS,A,Yes - Corner Card Point,3061013.8926999997,1258825.5063,0,2598.949,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=01&p_index_letter=N&p_received_date=&p_operation=Search
county_control_bank,P-9,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3060058.5269,1253564.2009,5410.54,2768.216, 
county_control_bank,N-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061006.7309999997,1253570.8419,5399.59,2832.076, 
county_control_bank,U-8,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058379.4721999997,1254237.692,5513.36,2849.291, 
county_control_bank,CO060010N0700W0_100300,Section,Active PLSS,A,Yes - Corner Card Point,3061017.9563999996,1253544.6438,0,2860.21,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=01&p_index_letter=J&p_received_date=&p_operation=Search
county_control_bank,T1NR71WS25NE,Cadastral,Submitted,A,Secondary Control Network,3061020.6503,1253542.3033,,2863.134,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=01&p_index_letter=J&p_received_date=&p_operation=Search
county_control_bank,R-5-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059836.8531,1259402.9759,5576.8,3121.757, 
county_control_bank,CO060010N0710W0_640400,Quarter,Active PLSS,D,Yes - Corner Card Point,3058356.4184,1258808.2858,0,3173.018,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=071.0W&p_index_number=23&p_index_letter=N&p_received_date=&p_operation=Search
county_control_bank,J-8-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062341.4259,1253858.7259,5385.95,3181.623, 
county_control_bank,K321,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061171.4659,1253233.858,5398.75,3199.781, 
county_control_bank,L-15-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3057935.6528000003,1258471.988,5629.66,3215.7, 
county_control_bank,J-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061024.8809,1253119.6949,5390.97,3275.583, 
county_control_bank,L405-2-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062986.2061,1254390.2999,5379.66,3287.154, 
county_control_bank,Y-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063640.5761,1256194.3619,5380.38,3318.17,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=03&p_index_letter=L&p_received_date=&p_operation=Search
county_control_bank,CO060010N0700W0_140340,Quarter,Active PLSS,D,Yes - Corner Card Point,3063646.4354,1256190.3715,0,3324.178,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=03&p_index_letter=L&p_received_date=&p_operation=Search
county_control_bank,T1NR70WS19C,Cadastral,Submitted,A,Secondary Control Network,3063649.1092999997,1256188.1474,,3326.937,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=03&p_index_letter=L&p_received_date=&p_operation=Search
county_control_bank,CO060010N0710W0_640300,Quarter,Active PLSS,A,Yes - Corner Card Point,3058367.0992,1253543.2268,0,3397.151,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=071.0W&p_index_number=23&p_index_letter=J&p_received_date=&p_operation=Search
county_control_bank,T1NR71WS25N,Cadastral,Submitted,A,Secondary Control Network,3058379.6158999996,1253530.6268,,3400.28,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=071.0W&p_index_number=23&p_index_letter=J&p_received_date=&p_operation=Search
county_control_bank,N-9,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062634.8301,1258818.9371,5491.11,3403.402, 
county_control_bank,K-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061523.398,1253119.4029,5383.87,3417.29, 
county_control_bank,U8-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059079.2411,1253080.9259,5428.06,3469.906, 
county_control_bank,L405-3,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063584.5080000004,1257510.4111,5386.48,3470.441, 
county_control_bank,J-8,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063665.1739,1254873.5171,5374.99,3639.973, 
county_control_bank,G-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061026.5581,1252663.974,5377.28,3722.364, 
county_control_bank,W-8-R-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061964.9981000004,1259676.3071,5498.02,3736.032, 
county_control_bank,T-1-5,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058624.2468999997,1259790.6841,5586.19,3865.27, 
county_control_bank,M-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062573.927,1253139.7362,5372.16,3894.886, 
county_control_bank,K8-A,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063689.3499999996,1254336.301,5369.72,3905.613, 
county_control_bank,Boulder_54,Survey,Submitted,A,Tertiary Control,3063516.2604,1253905.3416,,4001.772, 
county_control_bank,S-6,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059724.414,1252242.4729,5396.7,4121.075, 
county_control_bank,T-1_3,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3060954.2331,1260400.4021,5521.8,4129.08, 
county_control_bank,T-1-3,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3060954.2331,1260400.4021,5521.8,4129.08, 
county_control_bank,Z-6-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058392.8370000003,1252656.83,5483.79,4141.03, 
county_control_bank,CO060010N0700W0_140400,Quarter,Active PLSS,A,Yes - Corner Card Point,3063623.4804,1258838.0053,0,4150.173,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=03&p_index_letter=N&p_received_date=&p_operation=Search
county_control_bank,T1NR70WS19N,Cadastral,Submitted,A,Secondary Control Network,3063626.0614,1258835.4383,,4150.668,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=03&p_index_letter=N&p_received_date=&p_operation=Search
county_control_bank,W-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063634.7901,1258824.6021,5456.03,4151.066, 
county_control_bank,T-1-4,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059666.0011,1260432.4729,5558.84,4165.313, 
county_control_bank,R-6,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059175.1179,1252224.3981,5429.72,4253.498, 
county_control_bank,CO060010N0700W0_140300,Quarter,Active PLSS,D,Yes - Corner Card Point,3063665.1646999996,1253549.7826,0,4339.359,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=03&p_index_letter=J&p_received_date=&p_operation=Search
county_control_bank,C-8,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062045.6791000003,1252213.8059,5358.66,4451.847, 
county_control_bank,E-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061062.5810000002,1251846.079,5370.84,4533.94, 
county_control_bank,CO060010N0710W0_600340,Quarter,Active PLSS,D,Yes - Corner Card Point,3055794.1601,1256142.8883,0,4534.054,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=071.0W&p_index_number=21&p_index_letter=L&p_received_date=&p_operation=Search
county_control_bank,A-7,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058388.8839,1252208.0851,5482.26,4544.456, 
county_control_bank,M4-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3064800.5160999997,1255410.582,5358.29,4567.12, 
county_control_bank,M-4,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3064889.8601,1256177.8908,5355.72,4567.288, 
county_control_bank,W-8-R-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061843.6431,1260669.0219,5492.36,4607.015, 
county_control_bank,T-440-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3064809.0312,1257435.243,5357.43,4620.962, 
county_control_bank,L-8,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063673.1840000004,1253118.792,5349.97,4632.164, 
county_control_bank,B-8,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062544.9599,1252218.5871,5350.49,4663.413, 
county_control_bank,B-9,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063637.6129,1259690.9219,5448.28,4726.61, 
county_control_bank,B-9-4,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062829.3241999997,1260416.4821,5463.41,4801.809, 
county_control_bank,Q4-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3064971.1098999996,1254668.2679,5349.78,4931.057, 
county_control_bank,Z-7,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063076.1741000004,1252218.2971,5346.87,4938.702, 
county_control_bank,R-6-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058783.4529999997,1251551.0641,5438.8,5011.431, 
county_control_bank,V-7,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3064164.3221000005,1252944.2011,5338.45,5112.276, 
county_control_bank,T-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061043.7231,1261389.2059,5503.8,5120.348, 
county_control_bank,V7-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3064794.9659,1253708.9949,5339.42,5176.662, 
county_control_bank,T1NR71WS13E,Cadastral,Submitted,A,Secondary Control Network,3061002.2907,1261490.1473,,5214.764,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=01&p_index_letter=P&p_received_date=&p_operation=Search
county_control_bank,CO060010N0700W0_100440,Quarter,Active PLSS,A,Yes - Corner Card Point,3060999.7369,1261492.563,0,5216.828,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=01&p_index_letter=P&p_received_date=&p_operation=Search
county_control_bank,CO060010N0710W0_600400,Section,Active PLSS,D, ,3055709.2111,1258803.9479,0,5241.703, 
county_control_bank,CO060010N0700W0_140260,Sixteenth,Active PLSS,D,Yes - Corner Card Point,3063680.1325000003,1252220.0431,0,5297.612,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=03&p_index_letter=H&p_received_date=&p_operation=Search
county_control_bank,W-8-R,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061892.914,1261409.3561,5480.02,5325.867, 
county_control_bank,T-440-3,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3065335.352,1258163.9951,5354.86,5339.268, 
county_control_bank,N405,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061605.4299,1251134.8911,5387.54,5340.518, 
county_control_bank,B-9-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3064885.9549000002,1259106.841,5415.79,5345.391, 
county_control_bank,CO060010N0710W0_600300,Section,Active PLSS,D,Yes - Corner Card Point,3055752.1158999996,1253415.8399,0,5416.724,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=071.0W&p_index_number=21&p_index_letter=J&p_received_date=&p_operation=Search
county_control_bank,N405-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063425.4200999998,1251821.2621,5412.98,5463.417, 
county_control_bank,CO060010N0700W0_100240,Quarter,Active PLSS,D,Yes - Corner Card Point,3061048.6761,1250887.4339,0,5480.173,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=071.0W&p_index_number=25&p_index_letter=G&p_received_date=&p_operation=Search
county_control_bank,CO060010N0710W0_640440,Quarter,Active PLSS,D, ,3058359.1402000003,1261469.4068,0,5512.202, 
county_control_bank,X7-1-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059562.1128000002,1250838.5101,5441.76,5533.879, 
county_control_bank,L8-3,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063975.4721,1251987.369,5354.16,5665.308, 
county_control_bank,N405-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062628.0001,1251140.0,5421.13,5668.594, 
county_control_bank,R-6-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058379.3859,1250993.2759,5481.04,5670.457, 
county_control_bank,N-12,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3060970.2039,1261976.3901,5506.8,5693.509, 
county_control_bank,T-1-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059168.1870999997,1261898.0779,5558.99,5697.129, 
county_control_bank,CO060010N0710W0_640240,Quarter,Active PLSS,D,Yes - Corner Card Point,3058398.4652000004,1250869.3047,0,5780.674, 
county_control_bank,C-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061329.9079,1250540.7971,5380.41,5865.55, 
county_control_bank,L8-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3064677.8959,1252382.195,5400.03,5869.645, 
county_control_bank,CO060010N0700W0_200340,Quarter,Active PLSS,A,Yes - Corner Card Point,3066302.7851,1256208.9675,0,5979.038,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=05&p_index_letter=L&p_received_date=&p_operation=Search
county_control_bank,T1NR70WS19E,Cadastral,Submitted,A,Secondary Control Network,3066305.6259000003,1256206.8383,,5981.918,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=05&p_index_letter=L&p_received_date=&p_operation=Search
county_control_bank,S-40-3,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3064937.1289999997,1260130.3281,5409.04,5982.945, 
county_control_bank,T-440,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3066250.34,1257220.666,5336.42,5993.691, 
county_control_bank,T-440-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3066339.41,1256111.3431,5333.45,6018.244, 
county_control_bank,O-4,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3066323.2029999997,1255501.4001,5327.62,6053.976, 
county_control_bank,P-4,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3066311.6341000004,1255008.5388,5325.01,6128.734, 
county_control_bank,T1NR70WS18C,Cadastral,Submitted,A,Secondary Control Network,3063622.9807,1261493.9465,,6136.141,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=03&p_index_letter=P&p_received_date=&p_operation=Search
county_control_bank,CO060010N0700W0_140440,Quarter,Active PLSS,A,Yes - Corner Card Point,3063619.9243,1261496.3293,0,6136.508,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=03&p_index_letter=P&p_received_date=&p_operation=Search
county_control_bank,B9-3,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063413.7082,1261685.241,5453.03,6191.269, 
county_control_bank,Q-4,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3066323.205,1254722.4512,5323.5,6207.419, 
county_control_bank,M-0-R,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062133.7271,1250370.179,5351.87,6218.339, 
county_control_bank,CO060010N0700W0_160260,Sixteenth,Active PLSS,D,Yes - Corner Card Point,3065008.1459,1252225.0313,0,6220.882,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=04&p_index_letter=H&p_received_date=&p_operation=Search
county_control_bank,L-0-R,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061797.2890999997,1250273.8511,5357.12,6222.475, 
county_control_bank,T-1-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059888.7231,1262531.681,5536.61,6227.382, 
county_control_bank,D1A-3-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058433.9501,1250384.8821,5491.43,6228.634, 
county_control_bank,P,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062510.3629,1250481.5489,5339.76,6233.736, 
county_control_bank,K,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3061436.9592000004,1250162.4121,5366.03,6256.815, 
county_control_bank,R-4,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3066311.6341000004,1254283.14,5319.79,6323.737, 
county_control_bank,D1A-3,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059996.7462,1249994.1791,5428.01,6333.905, 
county_control_bank,CO060010N0700W0_140240,Quarter,Active PLSS,D, ,3063695.6508,1250890.8145,0,6390.178, 
county_control_bank,C-1-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063587.0569,1250815.8419,5333.53,6397.944, 
county_control_bank,CO060010N0700W0_200400,Section,Active PLSS,A,Yes - Corner Card Point,3066282.6562,1258863.1243,0,6478.117,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=05&p_index_letter=N&p_received_date=&p_operation=Search
county_control_bank,T1NR70WS19NE,Cadastral,Submitted,A,Secondary Control Network,3066285.6063,1258860.8418,,6479.935,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=070.0W&p_index_number=05&p_index_letter=N&p_received_date=&p_operation=Search
county_control_bank,L8-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3065226.5210999995,1251962.1181,5324.1,6558.557, 
